Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight (lbs)
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,30,40,4066000
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,1,102000
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,200,2,396000
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,300,167,37408000
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Wide Body,Boeing,767,333,1,320000
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,160,21520000
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,146,20761200
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,2,343040
200507,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,23,14490000
200507,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,400,31,18855500
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,400,14,8820000
200507,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,62,7936000
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,274,33154000
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,33,3993000
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,85,10285000
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,34,4392800
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,700,27,3488400
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,144000
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,800,1,144000
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,4,585200
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,7,910000
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,60,7800000
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,McDonnell Douglas,MD-80,,31,4030000
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14260000
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,217,42966000
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200,87,23490000
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,155,48050000
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,83,290,37700000
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,400,52000000
200507,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,140,152,6277600
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Regional Jet,LearJet,35A,,1,15300
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AC,22,308000
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AT,8,124000
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,400,4,2664000
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,17,7820000
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,Airbus,A300,,21,6203820
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-8,73,20,5500000
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,L,21,279720
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,23,1541000
200507,BelAir Airlines,BBB,BelAir Airlines,BBB,International,Europe,Passenger,Wide Body,Boeing,767,300,4,1400000
200507,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,400,62,39060000
200507,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Freighter,Wide Body,Boeing,747,400,9,5994000
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,400,17,11322000
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
200507,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,400,39,24570000
200507,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,,27,17982000
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,,13,6129500
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,200,1,98000
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,500,4,440000
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,700,76,9728000
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,800,199,28656000
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,900,26,3829800
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,,68,7752000
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,757,200,61,12078000
200507,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Wide Body,Boeing,767,300,1,350000
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,190,27360000
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,,172,34056000
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,200,45,12150000
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300,59,17405000
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300ER,24,7680000
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,400,62,21700000
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,400,57,35853000
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,McDonnell Douglas,MD-11,0,4,1884000
200507,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Freighter,Wide Body,Boeing,747,100,1,585000
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,46,17250000
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,30,1,436000
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,,20,9630000
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,,28,3458000
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,,147,19771500
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,300,31,9920000
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,93,6231000
200507,Icelandair,FI,Icelandair,FI,International,Europe,Passenger,Wide Body,Boeing,767,300ER,17,5440000
200507,Independence Air,DH,Independence Air,DH,Domestic,US,Passenger,Narrow Body,Airbus,A319,,93,12815400
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Freighter,Wide Body,Boeing,747,200,50,31500000
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,777,200,31,14570000
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,200,9,5670000
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,727,200,11,1754000
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,737,300,14,1632400
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,400,8,5224000
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,,19,12388000
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,200,22,10120000
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,747,430,31,19530000
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,600,31,17701000
200507,Mesa Airlines,YV,US Airways,US ,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,900,35,2572500
200507,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A318,,1,126770
200507,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A319,,20,2690000
200507,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A320,,42,5972400
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-88,,31,4324500
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,200,48,30240000
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Freighter,Wide Body,Boeing,747,200,3,1890000
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Freighter,Wide Body,Boeing,747,200,1,639000
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,300,93,20832000
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,,185,36630000
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A319,,9,1209600
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,,83,11802600
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,223,31,12437200
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,400,28,17640000
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,300,8,3351040
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,747,400,33,20790000
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,747,,2,1331600
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14230550
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,500,155,7285000
200507,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,600,268,17956000
200507,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,600,62,4154000
200507,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,1360,63920000
200507,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,ERJ,120,1655,42699000
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,800,31,4533500
200507,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,,62,8816400
200507,Tradewinds Airlines,WI,Tradewinds Airlines,WI,Domestic,US,Freighter,Wide Body,Boeing,747,200B,8,5040000
200507,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Boeing,737,300,144,16426400
200507,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A319,,148,20379700
200507,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A320,,100,14213600
200507,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A321,,259,44418500
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,300,410,46740000
200507,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,322,124,14136000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,500,88,9680000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,747,422,39,24570000
200507,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,422,155,97650000
200507,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,422,31,19530000
200507,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,422,31,19530000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,,1298,257004000
200507,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,757,,5,990000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,300,173,51900000
200507,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,767,300,31,9300000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,322,85,27200000
200507,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,222,93,42780000
200507,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,222,62,28520000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222B,61,28060000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,,99,44055000
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,131,691,95219800
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,232,872,123998400
200507,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,232,31,4408200
200507,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,232,36,5119200
200507,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,400,31,19530000
200507,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,700,21,2713200
200507,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,800,1,146300
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,30,41,4144000
200508,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,4,408000
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146300
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,200,3,594000
200508,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,300,159,35616000
200508,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,173,23268500
200508,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,129,18318000
200508,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,1,171520
200508,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,16,10080000
200508,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,400,31,18815700
200508,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,400,13,8190000
200508,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,62,7936000
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,298,36058000
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,31,3751000
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,89,10769000
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,35,4522000
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,700,1,129200
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,700,1,129200
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,1,146300
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,3,390000
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,37,4810000
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,McDonnell Douglas,MD-80,,60,7800000
200508,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14260000
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,200,39600000
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200,62,16740000
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,184,57040000
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,83,286,37180000
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,396,51480000
200508,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,140,149,6153700
200508,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Piper,CHIEFTAIN,,1,7000
200508,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AC,20,280000
200508,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AT,5,77500
200508,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,400,2,1332000
200508,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,14,6440000
200508,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,Airbus,A300,,23,6794660
200508,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-8,73,21,5775000
200508,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,L,22,293040
200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,24,1608000
200508,BelAir Airlines,BBB,BelAir Airlines,BBB,International,Europe,Passenger,Wide Body,Boeing,767,300,4,1400000
200508,Boeing Company,,Boeing Company,,International,Asia,Passenger,Wide Body,Boeing,777,200,1,350000
200508,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,400,60,37800000
200508,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Freighter,Wide Body,Boeing,747,400,9,5994000
200508,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,400,17,11322000
200508,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
200508,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,400,40,25200000
200508,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,,28,18648000
200508,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,,12,5658000
200508,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,200,1,98000
200508,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,700,104,13312000
200508,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,800,199,28656000
200508,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,900,27,3977100
200508,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,,44,5016000
200508,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,757,200,62,12276000
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,159,22896000
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,,200,39600000
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,200,49,13230000
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300,73,21535000
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300ER,11,3520000
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,400,62,21700000
200508,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,400,52,32708000
200508,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,,1,471500
200508,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,48,18000000
200508,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,30,1,436000
200508,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,,21,10111500
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,,14,1729000
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,,149,20040500
200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,300,31,9920000
200508,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,93,6231000
200508,Icelandair,FI,Icelandair,FI,International,Europe,Passenger,Wide Body,Boeing,767,300ER,18,5760000
200508,Independence Air,DH,Independence Air,DH,Domestic,US,Passenger,Narrow Body,Airbus,A319,,93,12815400
200508,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Freighter,Wide Body,Boeing,747,200,49,30870000
200508,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
200508,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,777,200,31,14570000
200508,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,200,7,4410000
200508,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,727,200,6,974500
200508,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,737,300,23,2681800
200508,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,400,4,2612000
200508,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,,27,17604000
200508,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,200,31,14260000
200508,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,747,430,31,19530000
200508,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,600,31,17701000
200508,Mesa Airlines,YV,US Airways,US ,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,900,35,2572500
200508,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A319,,16,2152000
200508,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A320,,44,6256800
200508,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-88,,31,4324500
200508,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,200,48,30240000
200508,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Freighter,Wide Body,Boeing,747,200,3,1890000
200508,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,300,91,20384000
200508,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,,155,30690000
200508,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A319,,15,2016000
200508,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,,76,10807200
200508,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,223,31,12437200
200508,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,400,30,18900000
200508,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,300,5,2094400
